,Newly added scoupus indexed journals Title
191,BMJ Open Science
192,Crohn’s and Colitis 360
193,Notulae Scientia Biologicae
194,Heritage
195,Giant
196,Materials Advances
197,Contemporary Clinical Neuroscience
198,Farmacja Polska
199,Health Biotechnology and Biopharma
200,Jordan Journal of Earth and Environmental Sciences
201,Geosfernye Issledovaniya
202,Mining Science and Technology
203,Acta Palaeontologica Romaniae
204,Human Research in Rehabilitation
205,International Journal of Legal Discourse
206,Journal of Historical Sociolinguistics
207,Studia Semiotyczne
208,"Language, Discourse and Society"
209,Geochronology
210,Journal of Psychedelic Studies
211,Beni-Suef University Journal of Basic and Applied Sciences
212,Paper and Biomaterials
213,Allergy and Rhinology
214,Cancer Drug Resistance
215,npj Science of Learning
216,Clinical Psychology in Europe
217,Computational and Mathematical Methods
218,Journal of Nutrition and Food Security
219,Plant Phenomics
220,Jordan Journal for History and Archaeology
221,Journal of Medicinal Plants for Economic Development
222,Progress in Inflammation Research
223,Journal of Somaesthetics
224,"Trajecta. Religion, Culture and Society in the Low Countries"
225,Sciences of Conservation and Archaeology
226,"Santander, Estudios de Patrimonio"
227,Capillarity
228,Philippine Journal of Fisheries
229,Journal of Physics: Complexity
230,Studies in Universal Logic
231,Equilibrium. Quarterly Journal of Economics and Economic Policy
232,Epigenomes
233,Journal of Islamic Ethics
234,Sound Studies
235,Cuadernos Medievales
236,Administrative Sciences
237,Il Pensiero Economico Italiano
238,Nephrology (Saint-Petersburg)
239,The Lancet Healthy Longevity
240,Journal of Creating Value
241,European Journal of Midwifery
242,NTT Journal for Theology and the Study of Religion
243,"International Journal for History, Culture and Modernity"
244,Sports Medicine and Health Science
245,Journal of Rehabilitation Sciences and Research
246,Agraris
247,"Palgrave Studies in Governance, Leadership and Responsibility"
248,Palgrave Studies on Sustainable Business in Association with Future Earth
249,Moderna Arhivistika
250,Annals of Movement Disorders
251,Egyptian Pharmaceutical Journal
252,Research Journal of Pharmacognosy
253,Journal of Caffeine and Adenosine Research
254,Computational and Mathematical Biophysics
255,Extracta Mathematicae
256,Discrete Mathematics Letters
257,Applied Set-Valued Analysis and Optimization
258,Journal of Applied and Numerical Optimization
259,Education in Medicine Journal
260,Oncology Issues
261,Plasma Physics and Technology
262,Logic in Asia: Studia Logica Library
263,Hip and Pelvis
264,Vestnik RUDN. International Relations
265,Enquiry
266,MedieKultur
267,En-Claves
268,Lublin Studies in Modern Languages and Literature
269,Itineraria
270,Translational Science of Rare Diseases
271,Journal of Alzheimer?s Disease Reports
272,FASEB BioAdvances
273,RSC Chemical Biology
274,Journal on Asian Linguistic Anthropology
275,Journal of Epigraphic Studies
276,Ikenga
277,Science and Technology Indonesia
278,Diferents
279,Romanica Wratislaviensia
280,Nature Food
281,Integrative Organismal Biology
282,Textile Museum Journal
283,Patristica et Mediaevalia
284,Burns and Trauma
285,Precision Clinical Medicine
286,Moderna (Ghezzano-La Fontina)
287,Palgrave Macmillan Animal Ethics Series
288,Nineteenth-Century Art Worldwide
289,Studies in Global Justice
290,Jerusalem Studies in Arabic and Islam
291,"Language, Cognition, and Mind"
292,Quaderni del ‘900
293,Ahkam: Jurnal Ilmu Syariah
294,World Journal of Experimental Medicine
295,World Journal of Transplantation
296,World Journal of Clinical Pediatrics
297,Journal of Prevention and Treatment for Stomatological Diseases
298,Structural Heart
299,Medicine in Drug Discovery
300,Pedagogy of Physical Culture and Sports
301,Studies in Humanism and Atheism
302,"Palgrave Studies in Literature, Science and Medicine"
303,One World Archaeology
304,Kantian Journal
305,City and Environment Interactions
306,Journal of Posthuman Studies
307,Medicine in Microecology
308,Journal of Clinical Medicine Research
309,"Energy, Environment, and Sustainability"
310,Proceedings of the Shevchenko Scientific Society. Medical Sciences
311,Societies
312,Schizophrenia Bulletin Open
313,Journal of Modern Rehabilitation
314,Current Research in Biotechnology
315,Current Research in Toxicology
316,E-Balonmano.com: Revista de Ciencias del Deporte
317,World Economics
318,Lilloa
319,Juridical Tribune
320,Journal of Liberty and International Affairs
321,Campo Juridico
322,Radio Physics and Radio Astronomy
323,SpringerBriefs in Ethics
324,Quantum Reports
325,Proceedings of the National Academy of Sciences of Belarus. Physics and Mathematics Series
326,Pravnik
327,Access to Justice in Eastern Europe
328,Arab Journal of Forensic Sciences and Forensic Medicine
329,International Comparative Jurisprudence
330,Pathways for Ecumenical and Interreligious Dialogue
331,Archivo de Arte Valenciano
332,Palgrave Studies in the History of Subcultures and Popular Music
333,Revista Electronica de Estudios Internacionales
334,Revista Opiniao Juridica
335,Remittances Review
336,Central and Eastern European Migration Review
337,Physics Open
338,European Journal of Interdisciplinary Studies
339,Radical Theologies and Philosophies
340,International Journal of Secondary Metabolite
341,Palgrave Studies in Affect Theory and Literary Criticism
342,ZEMCH International Conference
343,Bernard Shaw and His Contemporaries
344,Studies in German Idealism
345,New World Choreographies
346,Commentaria Classica
347,Journal of Neuroanaesthesiology and Critical Care
348,Pelviperineology
349,Eidos: Journal for Philosophy of Culture
350,Soudobe Dejiny
351,Palgrave Studies in Animals and Literature
352,Journal of Geovisualization and Spatial Analysis
353,Reproducing Shakespeare
354,Philosophical Studies Series
355,Early Modern Literature in History
356,Chinese Language Learning Sciences
357,Global Cinema
358,Historia i Swiat
359,Queenship and Power
360,Christianity in Modern China
361,New Approaches to Byzantine History and Culture
362,Journal of Clinical Pediatric Surgery
363,Educational Process: International Journal
364,Journal of Food Legumes
365,Fungal Systematics and Evolution
366,Neiro-Nechitki Tekhnolohii Modelyuvannya v Ekonomitsi
367,Medical Journal of Dr. D.Y. Patil Vidyapeeth
368,Mathematical Foundations of Computing
369,Journal of Computer Science and Technology (La Plata)
370,Chinese Journal on Internet of Things
371,Jurnal Keperawatan Indonesia
372,Journal of Corporate Accounting and Finance
373,American Economist
374,Indian Journal of Entomology
375,"Trees, Forests and People"
376,Journal of Territorial and Maritime Studies
377,Journal of Muslim Philanthropy and Civil Society
378,Journal of Systems Science and Information
379,Journal of Ultrafine Grained and Nanostructured Materials
380,Annals of Corporate Governance
381,Critical Ethnic Studies
382,"Gender, Sexualities and Culture in Asia"
383,Contemporary City
384,JTCVS Techniques
385,Strategy Science
386,Fiziologichnyi Zhurnal
387,Hellenic Journal of Radiology
388,Instruments
389,Quantum Beam Science
390,"Nanosystems: Physics, Chemistry, Mathematics"
391,Russian Journal of Evidence-Based Gastroenterology
392,Transplantologiya
393,Meat Technology
394,Research Ethics Forum
395,Meditsinskiy Sovet
396,Medical Visualization
397,Messenger of Anesthesiology and Resuscitation
398,Complex Issues of Cardiovascular Diseases
399,Paediatrics. Eastern Europe
400,Rossiiskii Oftal’mologicheskii Zhurnal
401,Head and Neck Russian Journal
402,Kliniceskaa Mikrobiologia i Antimikrobnaa Himioterapia
403,"Infectious Diseases: News, Opinions, Training"
404,Gaceta Medica Boliviana
405,Cardiovascular Medicine
406,International Journal of Gastrointestinal Intervention
407,Lancet Regional Health – Western Pacific
408,Public Health in Practice
409,Asia Oceania Journal of Nuclear Medicine and Biology
410,Irish Judicial Studies Journal
411,Studia Luridica Lublinensia
412,Samarah
413,International Journal of Police Science and Management
414,Revista de Direito (Vicosa)
415,Revista Catalana de Dret Ambiental
416,African Human Rights Law Journal
417,Journal of Data Protection and Privacy
418,University of Western Australia Law Review
